Feature Category,Feature
COMFORT AND CONVENIENCE,Power Steering
COMFORT AND CONVENIENCE,Power Windows-Front
COMFORT AND CONVENIENCE,Power Windows-Rear
COMFORT AND CONVENIENCE,Power Boot
COMFORT AND CONVENIENCE,Power folding 3rd Row Seat
COMFORT AND CONVENIENCE,Air Conditioner
COMFORT AND CONVENIENCE,Heater
COMFORT AND CONVENIENCE,Adjustable Steering
COMFORT AND CONVENIENCE,Automatic Climate Control
COMFORT AND CONVENIENCE,Air Quality Control
COMFORT AND CONVENIENCE,Remote Climate Control (A/C)
COMFORT AND CONVENIENCE,Remote Trunk Opener
COMFORT AND CONVENIENCE,Remote Fuel Lid Opener
COMFORT AND CONVENIENCE,Remote Engine Start/Stop
COMFORT AND CONVENIENCE,Low Fuel Warning Light
COMFORT AND CONVENIENCE,Accessory Power Outlet
COMFORT AND CONVENIENCE,Trunk Light
COMFORT AND CONVENIENCE,Remote Horn & Light Control
COMFORT AND CONVENIENCE,Vanity Mirror in sunvisor
COMFORT AND CONVENIENCE,Rear Reading Lamp
COMFORT AND CONVENIENCE,Rear Seat Headrest
COMFORT AND CONVENIENCE,Adjustable Headrest
COMFORT AND CONVENIENCE,Rear Seat Centre Arm Rest
COMFORT AND CONVENIENCE,Height Adjustable Front Seat Belts
COMFORT AND CONVENIENCE,Cup Holders-Front
COMFORT AND CONVENIENCE,Cup Holders-Rear
COMFORT AND CONVENIENCE,Rear AC Vents
COMFORT AND CONVENIENCE,Heated Seats Front
COMFORT AND CONVENIENCE,Heated Seats - Rear
COMFORT AND CONVENIENCE,Seat Lumbar Support
COMFORT AND CONVENIENCE,Active noise cancellation
COMFORT AND CONVENIENCE,Multifunction Steering Wheel
COMFORT AND CONVENIENCE,Cruise Control
COMFORT AND CONVENIENCE,Parking Sensors-Front
COMFORT AND CONVENIENCE,Parking Sensors-Rear
COMFORT AND CONVENIENCE,Navigation System
COMFORT AND CONVENIENCE,Find My Car location
COMFORT AND CONVENIENCE,Real-Time Vehicle Tracking
COMFORT AND CONVENIENCE,Foldable Rear Seat-60:40 Split
COMFORT AND CONVENIENCE,Foldable Rear Seat-Bench Folding
COMFORT AND CONVENIENCE,Drive Mode
COMFORT AND CONVENIENCE,Smart Access Card Entry
COMFORT AND CONVENIENCE,Smart Key Band
COMFORT AND CONVENIENCE,KeyLess Entry
COMFORT AND CONVENIENCE,Engine Start/Stop Button
COMFORT AND CONVENIENCE,Glove Box Cooling
COMFORT AND CONVENIENCE,Voice Control
COMFORT AND CONVENIENCE,Steering Wheel Gearshift Paddles
COMFORT AND CONVENIENCE,USB Charger-Front
COMFORT AND CONVENIENCE,USB Charger-Rear
COMFORT AND CONVENIENCE,Central Console Armrest-With Storage
COMFORT AND CONVENIENCE,Tailgate Ajar
COMFORT AND CONVENIENCE,Hands-Free Tailgate
COMFORT AND CONVENIENCE,Gear Shift Indicator
COMFORT AND CONVENIENCE,Rear side window curtain
COMFORT AND CONVENIENCE,Luggage Hook & Net
COMFORT AND CONVENIENCE,Battery Saver
COMFORT AND CONVENIENCE,Lane Change Indicator
COMFORT AND CONVENIENCE,Fully Automatic Temperature Control (FATC) Heating
COMFORT AND CONVENIENCE,Tool kit and Car Jack
COMFORT AND CONVENIENCE,One Touch Operating Power -Drivers Window
COMFORT AND CONVENIENCE,Co Drive Sunvisor
COMFORT AND CONVENIENCE,Assist Grips (Co - Dr. + Rear)
COMFORT AND CONVENIENCE,Ticket Holder
COMFORT AND CONVENIENCE,Map Pocket
COMFORT AND CONVENIENCE,Rear Parcel Tray/Shelf
COMFORT AND CONVENIENCE,Co-Driver Side Front Seat Under Tray
COMFORT AND CONVENIENCE,Electromagnetic Back Door Opener
COMFORT AND CONVENIENCE,Rear Back Pocket
COMFORT AND CONVENIENCE,Footrest
COMFORT AND CONVENIENCE,Nissan Connect Control and Convenience
COMFORT AND CONVENIENCE,Lead Me To Car
COMFORT AND CONVENIENCE,Speed Sensing Volume Compensation (5 Celectable Levels)
COMFORT AND CONVENIENCE,Driver Side Dead Pedal
COMFORT AND CONVENIENCE,Foldable Rear Seat Backrest
COMFORT AND CONVENIENCE,Sunglass Holder
COMFORT AND CONVENIENCE,Clutch Footrest
COMFORT AND CONVENIENCE,Eco Holder/Guide
COMFORT AND CONVENIENCE,Smart Pedal
COMFORT AND CONVENIENCE,Power Windows Timelag
COMFORT AND CONVENIENCE,Illumination Driver Side
COMFORT AND CONVENIENCE,Power Windows Auto Up-Down
COMFORT AND CONVENIENCE,Theatre Dimming Central Room Lamp
COMFORT AND CONVENIENCE,Front Map Lamp
COMFORT AND CONVENIENCE,Second Power Outlet
COMFORT AND CONVENIENCE,Front Passenger Seat Back Pocket
COMFORT AND CONVENIENCE,"Eco Coating Technology,"
COMFORT AND CONVENIENCE,One-touch turn indicator
